Date,PMAQI Value,Main Pollutant,Site Name,Site ID,Source
12/1/13,83,,FIA/Lafayette,26-163-0039,AQS
12/2/13,42,,FIA/Lafayette,26-163-0039,AQS
12/3/13,69,,,26-163-0016,AQS
12/4/13,84,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/5/13,48,,FIA/Lafayette,26-163-0039,AQS
12/6/13,43,,Southwestern H.S.,26-163-0015,AQS
12/7/13,39,,FIA/Lafayette,26-163-0039,AQS
12/8/13,44,,FIA/Lafayette,26-163-0039,AQS
12/9/13,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/10/13,44,,FIA/Lafayette,26-163-0039,AQS
12/11/13,58,,92 FEET FROM WHE STREET,26-163-0036,AQS
12/12/13,65,,Southwestern H.S.,26-163-0015,AQS
12/13/13,62,,Allen Park,26-163-0001,AQS
12/14/13,40,,Allen Park,26-163-0001,AQS
12/15/13,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/16/13,66,,Allen Park,26-163-0001,AQS
12/17/13,79,,FIA/Lafayette,26-163-0039,AQS
12/18/13,74,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/19/13,63,,FIA/Lafayette,26-163-0039,AQS
12/20/13,76,,Allen Park,26-163-0001,AQS
12/21/13,45,,Allen Park,26-163-0001,AQS
12/22/13,22,,Allen Park,26-163-0001,AQS
12/23/13,28,,Allen Park,26-163-0001,AQS
12/24/13,35,,Allen Park,26-163-0001,AQS
12/25/13,51,,Allen Park,26-163-0001,AQS
12/26/13,53,,FIA/Lafayette,26-163-0039,AQS
12/27/13,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/28/13,60,,FIA/Lafayette,26-163-0039,AQS
